node_id,node_type,node_name
A5068412234,Author,Ahmed Qassem Ali Sharhan Al-Sudani
A5065393831,Author,Ahmet Ocak Akdemi̇r
A5005197974,Author,Ai Anh Thu Su
A5092687136,Author,Ai Ngoc Nhan Le
A5003791909,Author,Aijun Zhu
A5087672790,Author,Aixian Li
A5039779616,Author,Aizhan Nazyrova
LOCAL_A000049,Author,Ajamaluddin Malik
A5052248524,Author,Ajay Mandal
A5044657350,Author,Ajaya Bhattarai
A5124022763,Author,Ajaya Bhattarai
A5062084624,Author,Ajit Kumar Patra
A5064393318,Author,Ajmal Koya Pulikkal
A5040269249,Author,Akhil Pradiprao Khedulkar
A5036994574,Author,Akinola S. Akinwumiju
A5004237375,Author,Akinwale T. Ogunrinde
A5079061954,Author,Alan Daugherty
A5109603511,Author,Albert Schömig
A5029518373,Author,Albina Anvarovna Bilyalova
A5034159221,Author,Alcibíades Lara Lafargue
A5058692331,Author,Alessio Morelli
A5023056660,Author,Alexander Hildebrandt
A5070810971,Author,Alexander J. Bradshaw
A5022173691,Author,Alexander Jakob
A5037601612,Author,Alexander Mojcher
A5049249038,Author,Alexander Neumann
A5007062060,Author,Alexander Tong
A5137498136,Author,Alexandr N. Schemelev
A5072683795,Author,Alexandra N. Davis
A5028419754,Author,Alexandre S. Gagnon
A5112130532,Author,Alexandre Ventura
A5110451785,Author,Alfredo F. Sierra
A5070244639,Author,Alfredo Ismael Curbelo Garnica
A5038709614,Author,Ali Elkamel
A5013902945,Author,Ali Jafari
A5104601006,Author,Ali Nouh Mabdeh
A5112902939,Author,Ali Q
A5002781179,Author,Ali Talebi
A5077529549,Author,Alibek Barlybayev
A5122123240,Author,Alice Kammwamba
A5112518881,Author,Alice Sharp
A5126262670,Author,Alina Mona Zenker
A5115998618,Author,Alina Zenker
A5100643970,Author,Alireza Kazemi
A5080542795,Author,Alisa Dabb
A5009230144,Author,Alisdair M. Boag
A5052322742,Author,Allan R. de Caen
A5078980138,Author,Allison B. Andraski
A5089333255,Author,Allison Langham-Putrow
LOCAL_A000079,Author,Alsharif Abuadbba
A5068264867,Author,Amalia Fauqiah Ashari
A5100748218,Author,Aman Ullah
A5032787752,Author,Amanda Mummert
A5045179061,Author,Amar Debbouche
A5045562391,Author,Amar Prasad Yadav
A5058447725,Author,Amartuvshin Renchin-Ochir
A5072945695,Author,Ameen Topa
A5024135624,Author,Amena Sibghatullah
A5011264671,Author,Amgalan Altansukh
A5103802413,Author,Amin Shaban
A5054981597,Author,Aminath Shazly
LOCAL_A000487,Author,Aminath Shazly
A5053995609,Author,Amir Farokh Payam
A5054597879,Author,Amir H. Mohammadi
A5062367420,Author,Amir Karton
A5040443493,Author,Amit Grover
A5048563533,Author,Amitabh Sharma
A5083152805,Author,Amjad Iqbal
A5068645315,Author,Ammar Abdel Amir Al-Salami
A5076400696,Author,Ammar Abulibdeh
A5005886146,Author,Amol R. Jadhav
A5041448847,Author,Ampuan Situmeang
A5126837277,Author,Amruta Aher
A5037259558,Author,Amy Riegelman
A5059673944,Author,Amélia G. Reis
A5065058297,Author,An Duong Thi Binh
A5115980099,Author,An Duy Dam
A5114079096,Author,An G.T. Nguyen
A5029731231,Author,An Nguyen
A5067463039,Author,An Nguyen
A5138264912,Author,An Nguyen Dinh Minh
LOCAL_A000661,Author,An Pham Hoang
A5118149060,Author,An T. Phan
A5081983746,Author,An Thien Ngoc Nguyen
A5110729206,Author,An et al.
A5101366509,Author,An-Tran Pham
A5059592113,Author,Ana Pilipović
A5008382937,Author,Anand Marya
A5028286533,Author,Anastacio Montejo P. Sadura
LOCAL_A000301,Author,Anat Thapinta
A5112976796,Author,Anatoly Lavrentyev
A5076626025,Author,Andi Maryani A. Mustapeng
A5056442046,Author,Andra Rizqiawan
A5052999341,Author,Andra Rizqiawan
A5038218244,Author,Andre Kortum
A5113792609,Author,Andrea Light
A5112445404,Author,Andrea Preuß
A5035756893,Author,Andrea Turner
A5000600923,Author,Andreas Geßner
A5108426113,Author,Andrew H. Travers
A5045270482,Author,Andrew K. Mlynarchik
A5016425455,Author,Andrew Le
A5082563112,Author,Andrew Lian
A5073811795,Author,Andrew Lockey
A5087397357,Author,Andrew Tilker
A5109718495,Author,Andrij O. Selezen
A5044592532,Author,André Fielicke
A5091570362,Author,Andy Nguyen
A5090133883,Author,Angelica E. Lang
A5036386687,Author,Angelie Dela Piedra
A5087749642,Author,Anggraeni Endah Kusumaningrum
A5045689082,Author,Angie Hibbert
A5056482864,Author,Angélica Paula Neumann
A5024327009,Author,Anh Bao The Luu
LOCAL_A000724,Author,Anh Do Thi Ngoc
A5058292518,Author,Anh Duc Le
LOCAL_A000213,Author,Anh Duc PHAM
A5081151430,Author,Anh Duc Pham
A5045611980,Author,Anh Duong
A5013889869,Author,Anh Dzung Nguyen
A5047569226,Author,Anh H. Vo
A5102408214,Author,Anh Ha Le
A5121760197,Author,Anh Hoang Cu
A5120107431,Author,Anh Kim Phan
LOCAL_A000434,Author,Anh Lam Tu Nguyen
A5130900413,Author,Anh Lê
A5024754432,Author,Anh Mai Tuan
A5117389295,Author,Anh Minh Pham-Phan
A5051720799,Author,Anh N. Le
A5008646614,Author,Anh Ngoc Thi
A5033041246,Author,Anh Ngoc Tuan
LOCAL_A000281,Author,Anh Nguyen
A5102765203,Author,Anh Nguyen
A5101951708,Author,Anh Nguyen
A5112982599,Author,Anh Nguyen Cat Nguyen
A5025898651,Author,Anh Nguyen Thi Hoai
A5053901514,Author,Anh Nguyen Tram Tran
A5092859826,Author,Anh Phuong Le Thi
A5016882940,Author,Anh Quoc Le
LOCAL_A000639,Author,Anh Quynh Pham
A5011611673,Author,Anh Son Hoang
A5012956416,Author,Anh T. Vo
LOCAL_A000725,Author,Anh T.D. Nguyen
A5130678885,Author,Anh Thi Dy Nguyen
A5108271314,Author,Anh Thi Hoang Tran
A5108892405,Author,Anh Thi Kim Phan
A5113067823,Author,Anh Thu Nguyen
A5139173248,Author,Anh Thuy Tram Nguyen
A5015253252,Author,Anh Thy Thi Chau
A5012907646,Author,Anh Tram Nguyen Tran
A5101997513,Author,Anh Tran
A5103928365,Author,Anh Triet Nguyen
A5101886347,Author,Anh Tu Nguyen
A5126343199,Author,Anh Tuan Dinh-Xuan
A5065748190,Author,Anh Tuan Nguyen
A5100759043,Author,Anh Tuan Nguyen
A5126193240,Author,Anh Tuan Nguyen
LOCAL_A000099,Author,Anh Tuan Nguyen
A5011791421,Author,Anh Tuan Ta
A5049432618,Author,Anh Tuan Vu
LOCAL_A000441,Author,Anh Tuyet Bui
A5100753115,Author,Anh Tuấn Lê
A5067921618,Author,Anh Van Dang
A5101590309,Author,Anh Van Nguyen
A5101265078,Author,Anh Viet Hoang Nguyen
A5109723297,Author,Anh Vo Thi Tu
A5073647327,Author,Anh Vu Le
A5038661325,Author,Anh Vy Tran
A5083610651,Author,Anh-Dung Chung
A5100846021,Author,Anh-Dung Hoang
LOCAL_A000722,Author,Anh-Duy Huynh
LOCAL_A000721,Author,Anh-Khoa Huynh
A5110290912,Author,Anh-Minh Le
A5101240606,Author,Anh-Thi Cao Tran
A5002312869,Author,Anh-Tu Tran
A5105298433,Author,Anh-Tuan Nguyen Huynh
A5111162167,Author,Anh-Vu LE
A5026969387,Author,Anh‐Duc Pham
A5052867498,Author,Anh‐Khoa Ton
A5112706783,Author,Anh‐Thu Nguyen
A5040773786,Author,Anh‐Tu Le
A5090435705,Author,Anh‐Tu Nguyen
A5036869152,Author,Anh‐Tuan Vu
A5048870921,Author,Ania Lian
A5021368295,Author,Anis Ahmad
A5036004952,Author,Anja Eckstein
A5110699531,Author,Anke Daser
A5016378241,Author,Anna Gustina Zainal
A5115399159,Author,Anna Latysheva
A5030697249,Author,Anna Lempert
A5020977498,Author,Anna Rudawská
LOCAL_A000667,Author,Anne Reid Griffin
A5110671529,Author,Anne Reid Griffin
A5071750358,Author,Anne S. Meyer
A5032316879,Author,Anne-Marie Guerguerian
A5057536910,Author,Anne‐Marie Guerguerian
A5033587154,Author,Anne‐Marie Hede
A5081741097,Author,Ansari Saleh Ahmar
A5029671794,Author,Ansuman Samal
A5071261094,Author,Anthony Abel C. Lawas
A5004964247,Author,Antoine Renucci
A5079805985,Author,Antonino Masaracchia
A5024823282,Author,António M. Lopes
A5031407090,Author,Anuli Njoku
A5123931166,Author,Anwar ul Haq Ali Shah
A5032882089,Author,Anyong Qing
A5076489521,Author,An‐Giang Nguyen
A5007520446,Author,Ao Zhen
A5035585781,Author,Apichart Pattanaporkratana
A5007077248,Author,Apichit Maneengam
A5101189126,Author,Aqeel Ahmad
A5027205370,Author,Aqsa Anees
A5015170656,Author,Aram Dobalian
LOCAL_A000669,Author,Aram Dobalian
A5062801799,Author,Arameh Eyvazian
A5004176765,Author,Arash Hashemifardnia
A5056461673,Author,Archieryan C. Villegas
A5021369042,Author,Arda Halu
A5061674272,Author,Ardian Jayakusuma
A5137477358,Author,Areg A. Totolian
A5123402673,Author,Areg A. Totolian
A5056993916,Author,Arfan Arshad
A5075519026,Author,Ariel J. Lang
A5083960512,Author,Arif Partono Prasetio
A5047381339,Author,Aris Setyawan
A5060225029,Author,Arivalagan Pugazhendhi
A5039479946,Author,Arjun Chakravarthi Pogaku
A5007628074,Author,Armando Reyes‐Serrato
A5113366228,Author,Arnab Patra
A5011618630,Author,Arnold L. Rheingold
A5078046494,Author,Arshian Sharif
LOCAL_A000575,Author,Arul Balasubramanian
A5086428556,Author,Arun Kumar Singh
A5020337708,Author,Asger Granfeldt
A5066981564,Author,Ashok Kumar Das
A5089469659,Author,Ashraf A. El‐Shehawy
A5088308470,Author,Ashraf El‐Hashani
A5055106821,Author,Ashwani Kumar
LOCAL_A000519,Author,"Ashworth, Peta"
A5001105773,Author,Asrop Syafi’i
A5043555012,Author,Asshaima Paramita Devi
A5001635692,Author,Assylbek Nurgabdeshov
A5031703189,Author,Astari Wulandari
A5046705053,Author,Astha Bhatta
A5074350013,Author,Atsushi Ebihara
A5056443847,Author,Atul S Gawande
A5101441808,Author,Au Hai Nguyen
A5080090568,Author,Ayman A. Aly
A5121974717,Author,Ayman Fathima
LOCAL_A000023,Author,Ayman Fathima
A5035154661,Author,Ayman Mutahar AlRassas
A5017884554,Author,Ayse Kortun
A5086626112,Author,Ayumi Chida
LOCAL_A000457,Author,Ayumi Fujiwara
LOCAL_A000489,Author,Ayşe Lisa Allison
A5069176903,Author,Ayşe Lisa Allison
A5108746448,Author,Azhar Baig
A5045740847,Author,Azher M. Abed
LOCAL_A000317,Author,B Afsar
LOCAL_A000148,Author,B Ahiod
LOCAL_A000227,Author,B Avolio
LOCAL_A000229,Author,B Bass
LOCAL_A000680,Author,B Celik
LOCAL_A000244,Author,B Erdogan
LOCAL_A000165,Author,B He
LOCAL_A000333,Author,B Holmes
LOCAL_A000365,Author,B Kodden
LOCAL_A000161,Author,B Setiyono
LOCAL_A000356,Author,B Steijn
A5136918616,Author,B. G. Cheon
A5107276587,Author,B. Hong
A5110548057,Author,B. Le
A5136962949,Author,B. Lubsandorzhiev
A5088838623,Author,B. Moon
A5007222296,Author,B. Rezini
A5133280575,Author,B. V. Gabrelian
A5029945067,Author,B.R. Kumar
A5063988759,Author,B.V. Gabrelian
A5113239988,Author,BAO TRI LE
A5050952324,Author,BUI DINH THANG
A5109654630,Author,Ba Hoang Tran
A5056447969,Author,Ba Huu Dinh
A5086776390,Author,Ba Van Tran
A5062820147,Author,Ba-Phu Nguyen
A5053540902,Author,Babak Mohammadi
A5022825726,Author,Babasaheb M. Matsagar
A5049567040,Author,Bac Cong Truong
A5009575522,Author,Bac Thi Vo
A5034877777,Author,Bac Truong Cong
A5025004943,Author,Bac Truong Cong
A5053950493,Author,Bach Hoang Dinh
A5109801092,Author,Bach Le
A5091611269,Author,Bach Tan Sinh
A5087916376,Author,Baehyun Min
A5075749159,Author,Bagher Ghermezcheshme
A5016349144,Author,Bahman Moradi
A5100012822,Author,Bailey Secker
LOCAL_A000503,Author,Bakary Conteh
A5059910185,Author,Bakary Conteh
A5040180866,Author,Balachandran Manavalan
A5057929288,Author,Balakrishnan Ramalingam
A5087802698,Author,Balbir Barn
A5138149664,Author,Bambang Wahrudin
A5079471980,Author,Bambang Widi Pratolo
A5038559143,Author,Ban Van Phuc
A5096042325,Author,Bang Nguyen Khanh Ha
A5085150492,Author,Bang Quoc Ho
A5112751609,Author,Bang Tam Thi Dao
A5028743344,Author,Bang Tran
A5030966029,Author,Bang V. Dinh
LOCAL_A000493,Author,"Banga, Margaret"
A5030132492,Author,Bao C. Vo
A5010674359,Author,Bao Huynh
A5111800896,Author,Bao Nguyen
A5093797244,Author,Bao The Phung
A5111063999,Author,Bao Tram Tran
A5106269420,Author,Bao Trang Nguyen Thi
A5013499835,Author,Bao Truong
LOCAL_A000063,Author,Bao Vo Nguyen Quoc
A5018119494,Author,Bao Vy Nguyen
A5091968955,Author,Bao-Ngan Nguyen-Ha
A5121014707,Author,Bao-Trang Nguyen Doi
A5033808806,Author,Bao-Tuan Nguyen
A5090559942,Author,Bao‐Son Trinh
A5020785151,Author,Bao‐Tran Tran Pham
LOCAL_A000057,Author,Barbara H. Lang
A5112557251,Author,Barkalov Sergei
A5033150655,Author,Barrak Alahmad
A5054767996,Author,Basil Lang
A5010910230,Author,Batsaikhan Saruuljavkhlan
A5053403067,Author,Bay Vo
A5039876499,Author,Ba‐Dinh Nguyen‐Tran
A5049427526,Author,Behrooz Keshtegar
A5095380028,Author,Bekbolat Kurmetbek
A5003211382,Author,Belle Philibosian
A5128348289,Author,Ben Chu Van
A5123901476,Author,Benadict Rakesh
A5069627644,Author,Benjamin D. Hill
A5074353408,Author,Benyamin Ranjbar
A5043049232,Author,Beom‐Seok Yang
A5021287285,Author,Bernard F. Langan
A5137038659,Author,Bernard Gan
A5089200750,Author,Bernard M. Hang’ombe
A5077280166,Author,Bernd W. Böttiger
A5110058980,Author,Bernhard Schneider
A5025205889,Author,Bert Laeyendecker
A5042843111,Author,Bertram Pitt
A5109692993,Author,Bhumika Das
A5106716948,Author,Bian Guang
A5106361655,Author,Bich Ha Dam
A5027890317,Author,Bich Hang
A5115056502,Author,Bich Ngoc Doan
A5058063287,Author,Bich Ngoc Hong Pham
A5125005209,Author,Bich Thao Thi Pham
A5135160172,Author,Bich Thi Ngoc Ho
A5047100737,Author,Bich-Ngan T. Nguyen
A5062889982,Author,Bich-Thuy-Le Thi
A5116329276,Author,Bich-Tram Vo-Ngoc
A5038791421,Author,Bich-Van Nguyen-Thi
A5081032657,Author,Bicheng Yan
A5032059076,Author,Bich‐Phuong Thi Nguyen
A5016410629,Author,Bidyut Saha
LOCAL_A000498,Author,Bijeesh Kozhikkodan Veettil
A5061049640,Author,Bijeesh Kozhikkodan Veettil
LOCAL_A000525,Author,"Bilik, Petr"
LOCAL_A000523,Author,"Bilík, Šimon"
A5028101406,Author,Bin Gao
A5101651242,Author,Bin Xu
A5100775772,Author,Bin Xu
A5138262578,Author,Binh  Quang Do
A5022868764,Author,Binh An NGUYEN
A5009893388,Author,Binh An Pham
A5050257903,Author,Binh Chi Bui
A5042752687,Author,Binh Duc Vu
A5111033585,Author,Binh N.D. Pham
A5015861324,Author,Binh Quang NGUYEN
A5074761112,Author,Binh Quang Nguyen
A5046621202,Author,Binh Thai Pham
A5044452244,Author,Binh Thanh Dang
A5030715845,Author,Binh Thanh Kieu
A5135155521,Author,Binh Thanh Le
A5081533584,Author,Binh Thanh Nguyen
A5102376855,Author,Binh Van Tran
A5083805250,Author,Binod Adhikari
A5028753652,Author,Bipasha Saha
A5110069127,Author,Birendra Kumar
A5054261847,Author,Bishal Bharadwaj
LOCAL_A000479,Author,Bishal Bharadwaj
A5080037825,Author,Björn Ottersten
A5075291010,Author,Blair L. Bigham
A5011157840,Author,Bo Da
A5049025379,Author,Bo Kang
A5100393094,Author,Bo Liu
A5074353144,Author,Bo Løfgren
A5026950458,Author,Bo Yu
A5102728063,Author,Bo Zhao
A5121951039,Author,Bo-Sheng Chen
A5059002683,Author,Boaz Jessie Jackin
LOCAL_A000496,Author,"Bohlmann, Jessika"
A5056015724,Author,Boo Cheong Khoo
A5085021661,Author,Boonchai Stitmannaithum
A5015152865,Author,Boris Popesko
A5126618891,Author,Boris Pustejovsky
A5103098636,Author,Bo‐Wen Guan
A5085428223,Author,Bradley S. Marino
A5124017476,Author,Brahamdeo Yadav
A5054630782,Author,Brahamdeo Yadav
A5065237636,Author,Brandon A. Furman
A5071482191,Author,Branislav Dudić
A5070496761,Author,Brian Eigel
A5065282480,Author,Brian Garner
A5109947023,Author,Brian J. O’Neil
A5071261948,Author,Brij B. Gupta
A5023129486,Author,Britt Lang
A5062156514,Author,Bryn T. M. Dentinger
A5105370959,Author,Buchari Buchari
A5061140260,Author,Bui D. Hoi
A5002700971,Author,Bui Dai Nghia
A5009549735,Author,Bui Duc Nam
A5054801180,Author,Bui Duong Giang
A5041307201,Author,Bui HUU-TRUNG
A5049578807,Author,Bui Hoang Phuc
A5054226404,Author,Bui Le Ngoc Minh
A5067409197,Author,Bui Minh Quy
A5039918314,Author,Bui Quang Thong
A5077406567,Author,Bui Tan Manh
A5084103582,Author,Bui Thanh Nhan
A5041172470,Author,Bui The Huy
A5097105432,Author,Bui Thi Bao Tram
LOCAL_A000219,Author,Bui Thi Kim Loan
A5007261664,Author,Bui Thi Ngoc Dung
A5052937759,Author,Bui Thi Phuong Quynh
A5117845190,Author,Bui Thi Phuong Thuy
A5101613907,Author,Bui Thuy Trang
A5109586304,Author,Bui Van Hie
A5042854558,Author,Bui Van Hien
A5022564032,Author,Bui Van Thang
A5004575662,Author,Bui Xuan Khuyen
A5047377666,Author,Bui Xuan Thang
A5031635334,Author,Bui‐Linh‐Chi Huynh
A5054095804,Author,Bulbul Ahmed
LOCAL_A000048,Author,Bulbul Ahmed
A5077443977,Author,Bushra Tufail
LOCAL_A000549,Author,Buu Quoc Mai
A5030860493,Author,Byung Moo Lee
A5000994184,Author,Bá Cao Nguyễn
A5059380500,Author,Bá Vương Trương
A5010653031,Author,Bérénice Conversy
A5032440878,Author,Bùi Hữu Phúc
A5007086934,Author,Bùi Sơn Tùng
A5009805440,Author,Bùi Thị Minh Nguyệt
A5041369109,Author,Bùi Thị Phương Thuý
A5067659457,Author,Bùi Vũ Minh
A5128736244,Author,Bạch Thị Quyên
A5125477204,Author,Bảo Nghi Từ
LOCAL_A000347,Author,C Borucki
LOCAL_A000238,Author,C Chow
A5017566261,Author,C E Grim
A5113613159,Author,C E McCoy
LOCAL_A000252,Author,C Fornell
LOCAL_A000222,Author,C Grunert
LOCAL_A000262,Author,C Higgins
LOCAL_A000131,Author,C Jiang
LOCAL_A000358,Author,C O'reilly
LOCAL_A000108,Author,C Obreque
LOCAL_A000117,Author,C Papadimitriou
A5043158224,Author,C Pauzner
LOCAL_A000263,Author,C Thoresen
LOCAL_A000191,Author,C Yang
A5136911064,Author,C. C. H. Jui
A5034636962,Author,C. Cuong
A5045349106,Author,C. H. Wu
A5070261515,Author,C. HUYNH
A5103462837,Author,C. J. Han
A5021660019,Author,C. Keith Ozaki
A5136913741,Author,C. Koyama
A5069952562,Author,C. M. Wang
A5136941845,Author,C. Rott
A5018821709,Author,C. S. Prentice
A5008745879,Author,C. Tran
LOCAL_A000243,Author,C.-H Wu
A5030329332,Author,C.M. Wang
A5100337614,Author,C.M. Wang
A5026934828,Author,C.T. Phan
A5109789023,Author,C.T.A. Xuan
A5081003707,Author,CRISPTOPHER HUGO
A5074800646,Author,CUONG HUU NGUYEN
A5115566123,Author,Ca Thi Thuy
A5078778703,Author,Cai Xing-yuan
A5107575422,Author,Cam Quynh Truong
A5018582414,Author,Cameron Folmar
A5021292806,Author,Cam‐Tu D. Phan
A5083276453,Author,Cang Ngoc Ly
A5075791229,Author,Canh Phuc Nguyen
A5082745090,Author,Cao Bang Vo
LOCAL_A000627,Author,Cao Binh Tran
A5093634125,Author,Cao Bính Trần
A5031192326,Author,Cao C. Tu
A5077097054,Author,Cao Ngoc Minh Trang
A5117543445,Author,Cao Thi Linh
A5116630260,Author,Cao Thi Thang
A5116787028,Author,Cao Tran Thanh Trung
LOCAL_A000216,Author,Cao Tri Nguyen
A5086989944,Author,Cao Văn Ánh
A5057393450,Author,Cao Xuan Bach
A5002945095,Author,Cao Xuan Phuong
A5036481436,Author,Cao Xuan Thuy
A5027351152,Author,Cao-Hien Nguyen
A5101315004,Author,Cao-Hoai-Linh Nguyen
A5056465948,Author,Cap Pham Van
A5071776831,Author,Carla A. F. Amado
LOCAL_A000476,Author,Carla Alexandra da Encarnação Filipe Amado
A5038116070,Author,Carla Coffey
A5035840553,Author,Carla Cristine Porcher
A5086600645,Author,Carlos A. Labarrere
A5023787832,Author,Carlos D. Libhaber
A5052862902,Author,Carolien Kroeze
A5010760857,Author,Carolina Arenas
A5063172188,Author,Caroline Corrêa de Faria
A5035975805,Author,Carrie L. Lang
A5103601073,Author,Carter Rebecca
A5085410675,Author,Cas van Cruchten
A5076866489,Author,Catherine L. Lang
A5029499585,Author,Catherine Lange
A5113029034,Author,Cathie Aime
A5059379004,Author,Cecilia Jimeno
A5010696478,Author,Celeste Fowles Nguyen
A5083849701,Author,Celso Augusto Guimarães Santos
A5064008395,Author,Cesar Bonilla
A5000427458,Author,Ch. Paramaiah
A5028269577,Author,Chadag Vishnumurthy Mohan
A5021771514,Author,Chaitanya B. Pande
A5112927327,Author,Cham Nguyen
A5000515264,Author,Chan Dai Truyen Thai
A5124029635,Author,Chandradip Kumar Yadav
A5056223358,Author,Chandradip Kumar Yadav
A5112623757,Author,Chang Zhao
A5093706060,Author,Chanh Huynh Cong
A5122445446,Author,Chanh M. Nguyen
A5007099952,Author,Chanh M. Nguyen
A5135656182,Author,Chanh Nguyen
A5076004552,Author,Channarong Rodkhum
A5064915286,Author,Chan‐Jin Park
A5032063674,Author,Chao Yang
A5024981821,Author,Chao-Jung Lai
A5015302001,Author,Chaozhu Zhang
A5073238754,Author,Charles Christoph Roehr
A5089854058,Author,Charles D. Deakin
A5108122544,Author,Charles D. Deakin
A5085823166,Author,Charles DiMaggio
A5061151551,Author,Chase W. Kessinger
A5064424890,Author,Chau Ly Thi Huyen
A5017574392,Author,Chau Minh Thuyen
A5051278633,Author,Chau Minh Tran
A5072737254,Author,Chau Ngoc Dang
A5094633734,Author,Chau Nha
A5099127038,Author,Chau Phan Kim Dieu
A5099127039,Author,Chau Phan Kim Hue
A5073151775,Author,Chau Phi Dinh
A5029795725,Author,Chau Si Thien Dong
A5127813669,Author,Chau Thai Mai
A5074595772,Author,Chau Thi Minh Tran
A5082387253,Author,Chawalit Jeenanunta
LOCAL_A000016,Author,Che-Yu Su
A5072923302,Author,Chee Peng Lim
A5126008088,Author,Chee-Kin Then
A5044326088,Author,Cheewita Suwanchawalit
A5103784185,Author,Chen Bao
A5102004265,Author,Chen Cui
A5061201875,Author,Chen Sing
LOCAL_A000718,Author,Chen V. Tran
A5100344370,Author,Chen Wei
A5102212713,Author,Chen Zheng
A5043810535,Author,Chen-Hsien Lin
A5101648450,Author,Cheng Wen
A5040974749,Author,Cheng Yin
A5102899700,Author,Cheng Zhang
A5007792819,Author,Cheng-Chieh Fang
A5110573326,Author,Cheng‐Che E. Lan
A5007973770,Author,Cheng‐Chun Wu
A5015918478,Author,Cheng‐Di Dong
A5102968901,Author,Cheng‐Feng Cheng
A5061359290,Author,Cheng‐Rong Hsing
A5101660391,Author,Cheng‐Ting Huang
A5101420279,Author,Cheng‐Wei Chen
A5052910132,Author,Chenlei Xue
A5070426067,Author,Cheryl Bushnell
